"ind" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "spp" "spp.1" "clade" "spp.2" "clade.1"
"106" "DC_MB2848_605790607_BroxtonRocksEast_sorted" -0.0248151 -0.114694 -0.0984095 0.0672565 -0.159919 -0.0278463 -0.117887 -0.0775773 -0.0391991 0.015166 "West" "West" "Atlantic" "West" "Atlantic"
"107" "DC_MB2852_603639823_Langdale_sorted" 0.0404839 -0.107342 -0.191786 -0.0409558 0.0267539 0.0882345 -0.0800835 -0.0835704 0.127159 0.116154 "West" "West" "Atlantic" "West" "Atlantic"
"108" "DC_MB2861_607338834_OISPNorth_sorted" -0.0226883 -0.122855 -0.104674 0.070322 -0.0900963 -0.0786027 -0.159739 -0.0551 -0.0379764 0.0716709 "West" "West" "Atlantic" "West" "Atlantic"
"109" "DC_N4_georgia_WayneCo_LittleSatillaWMA_sorted" -0.0427573 -0.0294871 0.0169647 0.0544662 0.0529136 -0.144937 0.0700818 0.0691779 0.00189054 -0.0127047 "West" "West" "Atlantic" "West" "Atlantic"
"110" "DC_O3_georgia_WheelerCo_LittleOcmulgee_sorted" -0.0320682 -0.098849 0.115235 -0.131389 -0.067911 -0.0217195 0.00271822 0.0844135 -0.133119 0.334538 "West" "West" "Atlantic" "West" "Atlantic"
"111" "DC_O5_georgia_WheelerCo_LittleOcmulgee_sorted" -0.0286554 -0.10676 0.104391 -0.163507 -0.0202421 -0.0344303 0.0131113 0.0768618 -0.0983888 0.326932 "West" "West" "Atlantic" "West" "Atlantic"
"112" "DC_OCIC.11_K1_georgia_WheelerCo_LittleOcmulgee_sorted" -0.0306656 -0.12219 0.149656 -0.302087 0.0624155 0.0950059 -0.0983215 -0.105003 0.05039 -0.182322 "West" "West" "Atlantic" "West" "Atlantic"
"113" "DC_OCIC.246_X1_georgia_JeffDavisCo_FlatTubWMA_sorted" -0.0269348 -0.0758242 0.0154179 0.0483396 -0.126876 -0.0394677 0.0642392 -0.018664 0.100214 0.0552513 "West" "West" "Atlantic" "West" "Atlantic"
"114" "DC_P5_georgia_TelfairCo_AlligoodTract_sorted" -0.023461 -0.105795 0.0667155 0.0572135 -0.120201 0.0456932 0.0570915 0.0123205 -0.0614761 0.139859 "West" "West" "Atlantic" "West" "Atlantic"
"115" "DC_Q4_georgia_BryanCo_FtStewart_sorted" -0.10291 0.112075 -0.00797454 -0.0171169 0.0184211 0.0397021 -0.0428334 0.00737444 -0.0437048 0.0076691 "East" "East" "Atlantic" "East" "Atlantic"
"116" "DC_S1_georgia_LongCo_FIAFRC_sorted" -0.0653827 -0.0186705 0.0613714 -0.00609523 0.0927044 -0.334366 -0.0125944 0.227402 0.158046 -0.114079 "East" "East" "Atlantic" "East" "Atlantic"
"117" "DC_S4_georgia_LongCo_FIAFRC_sorted" -0.069377 0.00218027 0.042544 -0.0480247 0.0850213 -0.256932 0.00145803 0.188205 0.116134 -0.0714156 "East" "East" "Atlantic" "East" "Atlantic"
"118" "DC_S8_georgia_LongCo_FIAFRC_sorted" -0.0715477 -0.008686 0.0611792 -0.0242094 0.0903645 -0.331314 -0.0491114 0.254499 0.125503 -0.112316 "East" "East" "Atlantic" "East" "Atlantic"
